Epoch,iter,train_loss,train_acc,valid_loss,valid_acc
0,100,5.428533136726606,0.596039603960396,-1,-1
0,200,5.387274380109797,0.6308457711442786,-1,-1
0,300,5.3636817979654206,0.6498338870431893,-1,-1
0,400,5.356582478929933,0.654364089775561,-1,-1
0,500,5.358478701661923,0.6518962075848304,-1,-1
0,600,5.354441855076744,0.6549084858569052,-1,-1
0,700,5.353580776464922,0.6556348074179743,-1,-1
0,800,5.3520783137441725,0.6556803995006242,-1,-1
0,900,5.349600468253454,0.6577136514983352,-1,-1
0,1000,5.343917807141741,0.6631368631368632,-1,-1
0,1100,5.343111087147698,0.6630336058128974,-1,-1
0,1200,5.342133601758006,0.6636136552872606,-1,-1
0,1300,5.340467680389381,0.6653343581860107,-1,-1
0,1400,5.34034331026969,0.6652391149179158,-1,-1
0,1500,5.339110525539127,0.6663557628247835,-1,-1
0,1600,5.336246533903161,0.6692067457838851,-1,-1
0,1700,5.334106767689179,0.6714873603762492,-1,-1
0,1800,5.334969001210841,0.6704053303720156,-1,-1
1,1827,5.335096324123055,0.6702791461412151,5.302564717346007,0.7013574660633484
1,1927,5.30625848958988,0.691089108910891,-1,-1
1,2027,5.290252548426538,0.7104477611940299,-1,-1
1,2127,5.2841198765954305,0.7169435215946844,-1,-1
1,2227,5.289905356647368,0.7102244389027431,-1,-1
1,2327,5.297034813924702,0.7029940119760479,-1,-1
1,2427,5.289876029892095,0.7101497504159734,-1,-1
1,2527,5.2912368007121175,0.7087018544935806,-1,-1
1,2627,5.29077449958125,0.7083645443196005,-1,-1
1,2727,5.290435851242116,0.7089900110987791,-1,-1
1,2827,5.289059003321203,0.7098901098901099,-1,-1
1,2927,5.287281205197229,0.7120799273387829,-1,-1
1,3027,5.286687829115309,0.7129059117402164,-1,-1
1,3127,5.286548236330869,0.7129900076863951,-1,-1
1,3227,5.285751954527262,0.7140613847251963,-1,-1
1,3327,5.284591663177612,0.7153897401732179,-1,-1
1,3427,5.283092395906371,0.7171767645221736,-1,-1
1,3527,5.2815120540598715,0.7188712522045856,-1,-1
1,3627,5.281901205837031,0.7188228761799,-1,-1
2,3654,5.2818531839196385,0.7189928845101259,5.289548607793149,0.717948717948718
2,3754,5.29114096329944,0.7069306930693069,-1,-1
2,3854,5.282246100961865,0.718407960199005,-1,-1
2,3954,5.269073577576697,0.7302325581395349,-1,-1
2,4054,5.268944426129881,0.7296758104738155,-1,-1
2,4154,5.274343640409306,0.7253493013972055,-1,-1
2,4254,5.26829764831086,0.7304492512479202,-1,-1
2,4354,5.268329453434312,0.7300998573466476,-1,-1
2,4454,5.266889136977559,0.7313358302122347,-1,-1
2,4554,5.265063716621695,0.7338512763596005,-1,-1
2,4654,5.262841901388559,0.7362637362637363,-1,-1
2,4754,5.261874495236902,0.7371480472297911,-1,-1
2,4854,5.262242534456404,0.737052456286428,-1,-1
2,4954,5.262002464077456,0.7377401998462721,-1,-1
2,5054,5.2612012535057096,0.7381870092790863,-1,-1
2,5154,5.259110527305425,0.7404397068620919,-1,-1
2,5254,5.25806454980768,0.7415365396627108,-1,-1
2,5354,5.25700395495523,0.7422692533803645,-1,-1
2,5454,5.25705104660551,0.742365352581899,-1,-1
3,5481,5.257234854873047,0.7419813902572523,5.273090698420552,0.7345399698340875
